SN,Year,Petrol,Diesel,Kerosene,AviationTurbineFuel,LightDieselOil,FurnaceOil,LPG,MineralTurpentineOil
0,2017,488675,1588869,22337,197220,-999,-999,370000,-999	
0,2016,407270,1319873,19607,164836,-999,36,312928,-999
0,2015,240386,785685,14194,83819,-999,77,214000,-999
1,2014,287473,921714,19653,141404,-999,883,258299,-999
2,2013,253381,808567,18409,125678,-999,2172,232660,-999
3,2012,223087,721203,24065,115896,2602456,207038,0
4,2011,202467,653560,41609,109904,0,440,181411,0
5,2010,188082,652764,43399,99990,228,1434,159286,0
6,2009,162902,608065,52714,82824,240,2612,141171,0
7,2008,128372,489219,77799,74306,380,2188,115813,0
8,2007,101624,303212,152168,68534,308,2940,96837,0
9,2006,98435,299419,192576,63650,180,4624,93562,0
10,2005,81817,292381,225007,66100,292,3754,81005,0
11,2004,76097,308076,231463,68340,88,2651,77594,0
12,2003,67965,302644,313127,64394,590,12672,66142,36
13,2002,68482,301672,351696,53546,610,14502,56079,48
14,2001,63578,287657,390113,47274,2413,18255,48757,120
15,2000,60653,333791,325198,65620,3418,20999,40102,132
16,1999,55570,327427,350196,59123,4005,26876,30627,132
17,1998,51584,319158,298351,56010,547,34245,25019,132
18,1997,47507,302063,287595,51700,967,27776,22961,132
19,1996,46621,259358,244546,48722,1983,17296,21824,132
20,1995,41736,254323,213830,40776,4449,18293,18600,0
21,1994,35019,228016,176963,37886,3794,32003,13049,0
22,1993,31476,195474,162324,30438,1530,27319,9308,0
